date,station,pms_ls,pms_rtt,pms_topp,ago_ls,ago_rtt,ago_topp,pmscl_stock,pms_prod,agocl_stock,ago_prod,pms_var,ago_var
Sun.1.JUNE.25,odor,276.52,,,165.05,,,2950,,5020,,#REF!,#REF!
Sun.1.JUNE.25,shuk1,200.69,,,21.67,,,1120,,1340,,#DIV/0!,#DIV/0!
Sun.1.JUNE.25,shuk2,189.71,,,7.38,,,1310,,1120,,#N/A,#N/A
Sun.1.JUNE.25,agbo,547.16,,,77.49,,,1230,,1140,,#N/A,#N/A
Sun.1.JUNE.25,nmai,,,,,,,,,,,#N/A,#N/A
Sun.1.JUNE.25,oyib,364.58,,,432.56,,,3350,,12220,,#N/A,#N/A
Sun.1.JUNE.25,danf,555.26,,,138.76,,,2760,,3430,,#N/A,#N/A
Sun.1.JUNE.25,TAIF,650.58,,,12.546,,,9320,,2900,,#N/A,#N/A
Sun.1.JUNE.25,kata,448.17,,,209.81,,,2830,,2170,,#N/A,#N/A
Sun.1.JUNE.25,botw,1108.89,,,421.75,,,2320,,11700,,#N/A,#N/A
Sun.1.JUNE.25,asha,594.36,,,753.51,,,6330,,8670,,#N/A,#N/A
Sun.1.JUNE.25,ayik,407.97,,,91.78,,,2130,,1040,,#N/A,#N/A
Sun.1.JUNE.25,odum,364.35,,,114.39,,,1040,,1520,,#N/A,#N/A
Sun.1.JUNE.25,ashal1,46.23,,,14.76,,,2050,,1440,,#N/A,#N/A
Sun.1.JUNE.25,ashal2,652.87,,,183.14,,,1900,,4420,,#N/A,#N/A
Sun.1.JUNE.25,nurse,102.08,,,38.81,,,2280,,1900,,#N/A,#N/A
Sun.1.JUNE.25,mayer,,,,,,,,,,,#N/A,#N/A
Sun.1.JUNE.25,borts,0,,,76.02,,,510,,3870,,#N/A,#N/A
Sun.1.JUNE.25,ablek,253.65,,,35.45,,,2150,,1700,,#N/A,#N/A
Sun.1.JUNE.25,danch,191.97,,,50.95,,,870,,960,,#N/A,#N/A
Sun.1.JUNE.25,aman,509.04,,,55.44,,,2950,,3160,,#N/A,#N/A
Sun.1.JUNE.25,bego,1082.3,,108,284.72,,,15510,13500,15840,,#N/A,#N/A
Sun.1.JUNE.25,teach,167.17,,,231.01,,,1160,,9040,,#N/A,#N/A
Sun.1.JUNE.25,asiak,425.1,,,327.57,,,7430,,13160,,#N/A,#N/A
Sun.1.JUNE.25,adeis,,,,,,,,,,,#N/A,#N/A
Sun.1.JUNE.25,kofo,283.75,,,128.45,,,670,,5820,,#N/A,#N/A
Sun.1.JUNE.25,ason,206.46,,,243.11,,,3310,,8680,,#N/A,#N/A
Sun.1.JUNE.25,akiman,240.71,,,92.26,,,2100,,590,,#N/A,#N/A
Sun.1.JUNE.25,asonk,,,,,,,,,,,#N/A,#N/A
