date,station,pms_ls,pms_rtt,pms_topp,ago_ls,ago_rtt,ago_topp,pmscl_stock,pms_prod,agocl_stock,ago_prod,pms_var,ago_var,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ahen,87.93,,,174.4,,,7680,,20090,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,abof1,485.62,,,1266.54,,,13290,,13640,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,abof2,155.66,,,227.41,,,7150,,7200,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,nyin,1154.17,,,470.32,,,9020,,25700,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,adank,24.84,,,100.58,,,1750,,9570,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,aboas,1264.88,47.82,,1084.784,60.206,,8810,,20480,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,atagogo,140.64,,,552.97,,,4120,,6770,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,wiam,1060.1,,,684.45,,,7030,,4670,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,agon,2047.377,,,1644.799,,,8810,,23290,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,droman,244.56,40.47,,23.54,10.14,,9270,,1770,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ejur,462.15,40.47,,54.96,40.43,,8920,,8570,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,agon2,452.26,,,503.2,,,7000,,17650,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,kube,39.61,,,198.37,70.28,,8730,,7880,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,suny,491.42,,,307.97,,,7200,,6920,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,yawh,448.88,,,142.55,,,3400,,9290,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
