date,station,pms_ls,pms_rtt,pms_topp,ago_ls,ago_rtt,ago_topp,pmscl_stock,pms_prod,agocl_stock,ago_prod,pms_var,ago_var
Wed.24.JULY,odor,443.61,,,460.34,,,12220,,4910,,#DIV/0!,#DIV/0!
Wed.24.JULY,shuk1,295.63,,,40.22,,,2920,,4140,,#N/A,#N/A
Wed.24.JULY,shuk2,296.09,,,77.56,,,5450,,1220,,#N/A,#N/A
Wed.24.JULY,agbo,504.83,,,74.36,,,12450,,2280,,#N/A,#N/A
Wed.24.JULY,nmai,,,,,,,,,,,#N/A,#N/A
Wed.24.JULY,oyib,1286.91,,,1301.57,,,6890,,14460,,#N/A,#N/A
Wed.24.JULY,danf,727.1,,,285.78,,,7070,,6180,,#N/A,#N/A
Wed.24.JULY,TAIF,618.38,,,188.972,,,3630,,7780,,#N/A,#N/A
Wed.24.JULY,kata,486.97,,,388.67,,,11020,,9440,,#N/A,#N/A
Wed.24.JULY,botw,1343.51,,,746.33,,,13800,,5510,,#N/A,#N/A
Wed.24.JULY,asha,500.5,,,853.74,,,12740,,5380,,#N/A,#N/A
Wed.24.JULY,ayik,326.19,,,186.75,,,2030,,3250,,#N/A,#N/A
Wed.24.JULY,odum,341.9,,,153.47,,,2610,,6280,,#N/A,#N/A
Wed.24.JULY,ashal1,,,,,,,,,,,#N/A,#N/A
Wed.24.JULY,ashal2,461.37,,,487.54,,,9400,,5630,,#N/A,#N/A
Wed.24.JULY,nurse,130.03,,,87.89,,,4240,,2770,,#N/A,#N/A
Wed.24.JULY,mayer,,,,,,,,,,,#N/A,#N/A
Wed.24.JULY,borts,784.63,,,258.13,,,8300,,7960,,#N/A,#N/A
Wed.24.JULY,ablek,103.03,,,183.61,,,3800,,2700,,#N/A,#N/A
Wed.24.JULY,danch,210.47,,,158.51,,,1100,,2660,,#N/A,#N/A
Wed.24.JULY,aman,751.68,,36,20.28,,,6480,4500,5840,,#N/A,#N/A
Wed.24.JULY,bego,986.62,,,245.76,,,12420,,4350,,#N/A,#N/A
Wed.24.JULY,teach,201.12,,,1425.2,,,8310,,14710,,#N/A,#N/A
Wed.24.JULY,asiak,364.11,,,921.53,,,9480,,13680,,#N/A,#N/A
Wed.24.JULY,adeis,,,,,,,,,,,#N/A,#N/A
Wed.24.JULY,kofo,94.56,,,489.89,,,2020,,6230,,#N/A,#N/A
Wed.24.JULY,ason,105.26,,,139.95,,,5210,,13400,,#N/A,#N/A
Wed.24.JULY,akiman,191.27,,,207.9,,,5150,,5460,,#N/A,#N/A
Wed.24.JULY,asonk,538.95,,,892.4,,,1220,,16350,,#N/A,#N/A
Wed.24.JULY,ynkrum,,,,,,,,,,,#N/A,#N/A
Wed.24.JULY,essien,396.36,,,111.89,,,3100,,9090,,#N/A,#N/A
Wed.24.JULY,tred,,,,,,,,,,,#N/A,#N/A
Wed.24.JULY,paky,402.65,80,,403.241,80,,10420,,22530,,#N/A,#N/A
Wed.24.JULY,obua,439.53,,,616.95,,,8040,,17500,,#N/A,#N/A
Wed.24.JULY,akapo,,,,,,,,,,,#N/A,#N/A
Wed.24.JULY,konko,401.13,20,,206.13,40,,790,,11940,,#N/A,#N/A
Wed.24.JULY,kodi,397.97,,72,327.91,,,9600,9000,13470,,#N/A,#N/A
Wed.24.JULY,hema,1205.84,60,,889.55,60,,11640,,17240,,#N/A,#N/A
Wed.24.JULY,toas,4708.27,,84,3149.4,,,14130,10500,35200,,#N/A,#N/A
Wed.24.JULY,otaf,134.54,,,175.79,,,7090,,5030,,#N/A,#N/A
Wed.24.JULY,aboab,172.75,,,120.66,,,9040,,5520,,#N/A,#N/A
Wed.24.JULY,asuos,381.26,,,519.13,,,5720,,6150,,#N/A,#N/A
Wed.24.JULY,akrop,848.55,,,1642.16,,,14310,,36020,,#N/A,#N/A
Wed.24.JULY,tep,213.7,,,162.75,,,5060,,3500,,#N/A,#N/A
Wed.24.JULY,anyi,656.67,,,33.14,,,7050,,7180,,#N/A,#N/A
Wed.24.JULY,ahen,152.08,,,1169.39,,,2390,,28270,,#N/A,#N/A
Wed.24.JULY,abof1,602.15,,,1271.19,,,11150,,19560,,#N/A,#N/A
Wed.24.JULY,nyin,569.55,,,1427.28,,,11400,,21840,,#N/A,#N/A
Wed.24.JULY,adank,19.09,,,9.46,,,7780,,5990,,#N/A,#N/A
Wed.24.JULY,aboas,1479.86,30.36,72,1517.012,40.43,144,18510,9000,29800,18000,#N/A,#N/A
Wed.24.JULY,atagogo,239.06,,,210.06,,,5670,,5930,,#N/A,#N/A
Wed.24.JULY,wiam,1716.05,,,468.12,,,8650,,8880,,#N/A,#N/A
Wed.24.JULY,agon,2151.383,40.41,,461.49,40.4,,25470,,10150,,#N/A,#N/A
Wed.24.JULY,droman,156.56,,,90.3,,,4260,,4670,,#N/A,#N/A
Wed.24.JULY,ejur,403.08,,72,349.57,,72,12560,9000,9570,9000,#N/A,#N/A
Wed.24.JULY,agon2,435.19,40.43,144,718.94,40.46,,26060,18000,6190,,#N/A,#N/A
Wed.24.JULY,kube,40.13,,,155.46,,72,3320,,12980,9000,#N/A,#N/A
Wed.24.JULY,suny,342.93,,,162.26,,,12240,,4260,,#N/A,#N/A
Wed.24.JULY,yawh,327.94,,80,450.93,,72,12160,10000,10810,9000,#N/A,#N/A
Wed.24.JULY,mantuk,193.57,,,626.08,,72,6940,,9230,9000,#N/A,#N/A
Wed.24.JULY,drob,164.88,,,177.14,,,9060,,7170,,#N/A,#N/A
Wed.24.JULY,afrisi,668.67,,84,636.49,,,13100,10500,10070,,#N/A,#N/A
Wed.24.JULY,ntrotr,1296.19,,,68.12,,,15310,,5140,,#N/A,#N/A
Wed.24.JULY,chira,323.08,40.36,,1155.63,40.4,72,16080,,16680,9000,#N/A,#N/A
Wed.24.JULY,nsoatr,735.57,,168,1222.63,,144,24970,21000,28200,18000,#N/A,#N/A
Wed.24.JULY,tnkwae,161.56,0.63,,112.24,,,8560,,3090,,#N/A,#N/A
Wed.24.JULY,tforik,528.58,,,141.3,,,9360,,9220,,#N/A,#N/A
Wed.24.JULY,wkoase,317.19,30.38,,618.27,40.51,,8500,,2750,,#N/A,#N/A
Wed.24.JULY,mks1,544.48,,36,315.9,,,5320,4500,4700,,#N/A,#N/A
Wed.24.JULY,mks2,312.11,,,241.7,,,2900,,2940,,#N/A,#N/A
Wed.24.JULY,mks3,439.21,11.89,,930.11,,72,4020,,15420,9000,#N/A,#N/A
Wed.24.JULY,mks4,,,,,,,,,,,#N/A,#N/A
